country_code	partner_type	partner_code	partner_name	insertion_order_id	insertion_order_name	campaign_id	campaign_name	ad_id	ad_name	advertiser_id	advertiser_name	dsp_code	dsp_name	line_item_id	line_item_name	line_item_type	creative_id	creative_name	creative_size	creative_type	cm_placement_id	placement_id	placement_name	inventory_source_id	inventory_source_name	inventory_source_type	ssp_code	ssp_name	publisher_id	publisher_name	conversion_pixel_id	conversion_pixel_name	package_id	package_name	exchange_id	exchange_name	industry_id	industry_name	sub_industry_name	market	pricing_model	channel_type	device_type	browser	operating_system	carrier	tracking_id	tracking_name	data_type	data_unique_identifier	data_provider_id	data_provider_name	click_thru_url	city	region	dma	country	zip_code	currency	event_datetime	impression_datetime	conversion_datetime	premium	ad_position	impressions	billable_impressions	data_impressions	viewable_impressions	measurable_impressions	clicks	conversions	interactions	interaction_time	post_click_conversions	post_view_conversions	media_cost	media_cost_tax	cpm_fee	data_cost	data_cost_tax	ad_serving_fee	ad_serving_fee_tax	cdn_fee	cdn_fee_tax	platform_fee_tax	platform_fee	agency_fee	agency_fee_tax	total_media_cost	total_cost	revenue	revenue_ecpm	profit	profit_margin	cpm	cpa	cpc	ecpm	ecpa	ecpc	ctr	cpm_rate	cpcv	roi	viewability_impressions_cost	viewability_impressions_cost_tax	rich_media_cost	rich_media_cost_tax	dynamic_creative_cost	dynamic_creative_cost_tax	verification_cost	verification_cost_tax	video_view_rate	video_average_view_time	video_completions	video_plays	video_quartile_view_0	video_quartile_view_25	video_quartile_view_50	video_quartile_view_75	video_quartile_view_100	agency_id	agency_name	campaign_start_date	campaign_end_date
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					2/17/2016					11					8																															72.72727273																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					2/18/2016					3					3																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					2/19/2016					3					3																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					2/20/2016					3					3																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					2/21/2016					3					3																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					2/22/2016					3					3																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					2/23/2016					3					3																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					2/24/2016					3					3																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					2/25/2016					2					3																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					2/26/2016					3					3																															100																								
